Artist,Times Played,Artist - Song,Times Played
MATTAFIX,5,MUMFORD & SONS - I WILL WAIT,4
SARAH CONNOR,5,SHAKIRA FEAT. WYCLEF JEAN - HIPS DON'T LIE,4
CLEAN BANDIT AND MABEL FEAT. 24KGOLDN,5,JONAS BROTHERS - SUCKER,4
OUTKAST,5,MELANIE FIONA - GIVE IT TO ME RIGHT,4
PAOLO NUTINI,5,JUPITER JONES - STILL,4
KWABS,5,ONE DIRECTION - STORY OF MY LIFE,4
STEFANIE HEINZMANN,5,AVRIL LAVIGNE - MY HAPPY ENDING,4
SIMPLE PLAN,5,LISSIE - WHEN I'M ALONE,4
VIZE & TOM GREGORY,5,U2 - BEAUTIFUL DAY,4
DAUGHTRY,5,SNOW PATROL - JUST SAY YES,4
SHABOOZEY,5,SIDO FEAT. ANDREAS BOURANI - ASTRONAUT,4
2PAC,4,THE KLF - LAST TRAIN TO TRANCENTRAL,4
DIE ÄRZTE,4,THE KOOKS - SHE MOVES IN HER OWN WAY,4
