Artist,Times Played,Artist - Song,Times Played
MURRAY HEAD,4,JUSTIN WELLINGTON FEAT. SMALL  - IKO IKO,4
VIZE & TOM GREGORY,4,MR. MISTER - KYRIE,4
MAX GIESINGER,4,JONAS BLUE FEAT. DAKOTA - FAST CAR,4
BANNERS,4,"ALESSO, KATY PERRY - WHEN I'M GONE",4
JOHN FARNHAM,4,NICK KAMEN - I PROMISED MYSELF,4
MGK,4,GEORGE HARRISON - GOT MY MIND SET ON YOU,4
MARK RONSON X RAYE,4,MURRAY HEAD - ONE NIGHT IN BANGKOK,4
SIA,4,VIZE & TOM GREGORY - NEVER LET ME DOWN,4
JULI,4,BANNERS - SOMEONE TO YOU,4
MARIAH CAREY,4,JOHN FARNHAM - YOU'RE THE VOICE,4
INNER CIRCLE,4,MGK - CLICHÉ,4
MARK RONSON FEAT. AMY WINEHOUS,4,MARK RONSON X RAYE - SUZANNE,4
DISTURBED,4,MARIAH CAREY - WITHOUT YOU,4
"TOPIC, A7S ATB",4,MARK RONSON FEAT. AMY WINEHOUS - VALERIE,4
GEORGE MICHAEL,4,DISTURBED - THE SOUND OF SILENCE,4
BRANDY & MONICA,4,"TOPIC, A7S ATB - YOUR LOVE (9PM)",4
KINGS OF LEON,4,BRANDY & MONICA - THE BOY IS MINE,4
KATY PERRY FEAT. SKIP MARLEY,4,KATY PERRY FEAT. SKIP MARLEY - CHAINED TO THE RHYTHM,4
SPICE GIRLS,4,SPICE GIRLS - WANNABE,4
MANDO DIAO,3,JUSTIN TIMBERLAKE - MIRRORS,3
DEEPEND FEAT. GRAHAM CANDY,3,PRINCE - THE MOST BEAUTIFUL GIRL IN THE WORLD,3
PHATS & SMALL,3,NICO SANTOS - NUMBER 1,3
WEATHER GIRLS,3,MANDO DIAO - DANCE WITH SOMEBODY,3
WILL SMITH,3,CHER - STRONG ENOUGH,3
WAMDUE PROJECT,3,DEEPEND FEAT. GRAHAM CANDY - WAITING FOR THE SUMMER,3
LILLY WOOD & THE PRICK,3,BON JOVI - ALWAYS,3
LUTRICIA MCNEAL,3,LEONY - REMEDY,3
AURA DIONE,3,KELLY CLARKSON - BREAKAWAY,3
UNDERDOG PROJECT,3,BOB MARLEY - BUFFALO SOLDIER,3
JAWSH 685 X JASON DERULO,3,BRUCE SPRINGSTEEN - STREETS OF PHILADELPHIA,3
AGNES,3,BRUCE SPRINGSTEEN - BORN IN THE U.S.A.,3
PHARRELL WILLIAMS,3,SUNRISE AVENUE - I DON'T DANCE,3
JOHN NEWMAN,3,SUNRISE AVENUE - LIFESAVER,3
TAKE THAT,3,PETER FOX - HAUS AM SEE,3
DIE TOTEN HOSEN,3,DARIO G - CARNIVAL DE PARIS,3
ALLE FARBEN,3,DUA LIPA - DON'T START NOW,3
THE BUGGLES,3,PHATS & SMALL - TURN AROUND,3
VANCE JOY,3,WEATHER GIRLS - IT'S RAINING MEN,3
KID ROCK,3,BRUNO MARS - GRENADE,3
DJ JAZZY JEFF FEAT. THE FRESH ,3,HERBERT GRÖNEMEYER - WAS SOLL DAS?,3
CALVIN HARRIS FEAT. DISCIPLES,3,WAMDUE PROJECT - KING OF MY CASTLE,3
KATE YANAI,3,LOI - LEFT IN YOUR LOVE,3
